Antigen,Study,Clone,Cat_Number,Oligo_ID,TotalSeq_Cat,Vendor,Control,RRID,Lot,Custom_Antibody
CD86,Hao_2021,IT2.2,305443,0006,A,BioLegend,FALSE,AB_2734273,NA,NA
CD86,Kotliarov_2020,IT2.2,305443,0006,A,BioLegend,FALSE,AB_2734273,B260736,FALSE
CD86,Wu_2021_b,IT2.2,305443,0006,A,BioLegend,FALSE,AB_2734273,NA,NA
CD86,PomboAntunes_2021,IT2.2,305443,0006,A,BioLegend,FALSE,AB_2734273,NA,NA
CD86,Mimitou_2021,IT2.2,305443,0006,A,BioLegend,FALSE,NA,NA,NA
CD86,Qian_2020,IT2.2,305443,0006,A,BioLegend,FALSE,NA,NA,NA
CD86,Buus_2021,IT2.2,305447,0006,C,BioLegend,FALSE,AB_2800786,NA,NA
CD86,Liu_2021,IT2.2,305447,0006,C,BioLegend,FALSE,AB_2800786,NA,NA
CD86,Papalexi_2021,IT2.2,305447,6,C,BioLegend,FALSE,AB_2800786,NA,NA
CD86,Stephenson_2021,IT2.2,305447,0006,C,BioLegend,FALSE,NA,NA,NA
CD86,Su_2020,IT2.2,305447,0006,C,NA,FALSE,NA,NA,NA
CD86,LeCoz_2021,IT2.2,305447,0006,C,BioLegend,FALSE,NA,NA,NA
CD86,Trzupek_2021,FUN1,940025,AHS0057,NA,BD Biosciences,FALSE,NA,NA,NA
CD86,Qi_2020,2331,940025,AHS0057,NA,BD Biosciences,FALSE,NA,NA,NA
CD86,Mair_2020,FUN-1,NA,AHS0057,NA,BD Biosciences,FALSE,NA,NA,NA
CD86,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD86,Trzupek_2020,FUN1,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD86,Trzupek_2020,FUN1,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD86,Trzupek_2020,FUN1,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD88 (C5aR),Liu_2021,S5/1,344319,1046,C,BioLegend,FALSE,AB_2832672,NA,NA
CD88 (C5aR),Stephenson_2021,S5/1,344319,1046,C,BioLegend,FALSE,NA,NA,NA
CD88 (C5aR),Su_2020,S5/1,344319,1046,C,NA,FALSE,NA,NA,NA
CD88 (C5aR),LeCoz_2021,S5/1,344319,1046,C,BioLegend,FALSE,NA,NA,NA
CD8a,Granja_2019,RPA-T8,301067,0080,A,BioLegend,FALSE,AB_2734248,NA,NA
CD8a,Hao_2021,RPA-T8,301067,0080,A,BioLegend,FALSE,AB_2734248,NA,NA
CD8a,PomboAntunes_2021,RPA-T8,301067,0080,A,BioLegend,FALSE,AB_2734248,NA,NA
CD8a,Mimitou_2021,RPA-T8,301067,0080,A,BioLegend,FALSE,NA,NA,NA
CD8a,Qian_2020,RPA-T8,301067,0080,A,BioLegend,FALSE,NA,NA,NA
CD8a,Stuart_2019,RPA-T8,301067,0080,NA,NA,FALSE,AB_2734248,NA,NA
CD8a,Granja_2019,RPA-T8,301069,NA,B,BioLegend,FALSE,NA,NA,NA
CD8a,Cadot_2020,SK1,344751,0046,A,BioLegend,FALSE,AB_2734351,NA,NA
CD8a,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD8a,Stoeckius_2017,RPA-T8,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD8a,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD8a,10x7July2020,RPA-T8,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD8a,10x19Nov2018,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD8a,10x24July2019,RPA-T8,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD8a,10x19Nov2018-2,NA,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD8a,10x24July2019-2,RPA-T8,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD8a,Wang_2020_PBMC,NA,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD8A,Wu_2021_b,RPA-T8,301067,0080,A,BioLegend,FALSE,AB_2734248,NA,NA
CD8A,Mimitou_2019,RPA-T8,NA,NA,NA,NA,FALSE,NA,NA,NA
CD8a/CD8A,Nathan_2021,RPA-T8,301067,0080,NA,NA,FALSE,AB_2734248,NA,NA
CD9,Hao_2021,HI9a,312119,0579,A,BioLegend,FALSE,AB_2783182,NA,NA
CD9,Pei_2020,HI9a,312119,0579,A,NA,FALSE,AB_2783182,NA,NA
CD9,PomboAntunes_2021,HI9a,312119,0579,A,BioLegend,FALSE,AB_2783182,NA,NA
CD9,Mimitou_2021,HI9a,312119,0579,A,BioLegend,FALSE,NA,NA,NA
CD9,Qian_2020,HI9a,312119,0579,A,BioLegend,FALSE,NA,NA,NA
CD9,Frangieh_2021,HI9a,NA,0579,NA,BioLegend,FALSE,NA,NA,NA
CD9,Holmes_2020,HI9a,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD90,Pei_2020,5E10,328135,0060,A,NA,FALSE,AB_2734312,NA,NA
CD90,PomboAntunes_2021,5E+10,328135,0060,A,BioLegend,FALSE,AB_2734312,NA,NA
CD90,Vanuytsel_2020,5E+10,328135,0060,NA,BioLegend,FALSE,AB_2734312,NA,NA
CD90,Trzupek_2020,5E10,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD90,Trzupek_2020,5E10,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD90,Trzupek_2020,5E10,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD90 (Thy1),Granja_2019,5E10,328135,0060,A,BioLegend,FALSE,AB_2734312,NA,NA
CD90 (Thy1),Hao_2021,5E10,328135,0060,A,BioLegend,FALSE,AB_2734312,NA,NA
CD90 (Thy1),Kotliarov_2020,5E10,328135,0060,A,BioLegend,FALSE,AB_2734312,B260032,FALSE
CD90 (Thy1),Mimitou_2021,5E10,328135,0060,A,BioLegend,FALSE,NA,NA,NA
CD90 (Thy1),Qian_2020,5E10,328135,0060,A,BioLegend,FALSE,NA,NA,NA
CD90 (Thy1),Su_2020,5E10,328145,0060,C,NA,FALSE,NA,NA,NA
CD90 (Thy1),Liu_2021,5E+10,NA,0060,C,BioLegend,FALSE,NA,NA,NA
CD90 (Thy1),Stephenson_2021,5E10,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD93,Hao_2021,VIMD2,336121,0446,A,BioLegend,FALSE,AB_2750379,NA,NA
CD93,Pei_2020,VIMD2,336121,0446,A,NA,FALSE,AB_2750379,NA,NA
CD93,PomboAntunes_2021,VIMD2,336121,0446,A,BioLegend,FALSE,AB_2750379,NA,NA
CD93,Mimitou_2021,VIMD2,336121,0446,A,BioLegend,FALSE,NA,NA,NA
CD94,Arunachalam_2020,DX22,305521,0867,A,BioLegend,FALSE,AB_2814142,NA,NA
CD94,PomboAntunes_2021,DX22,305521,0867,A,BioLegend,FALSE,AB_2814142,NA,NA
CD94,Liu_2021,DX22,305523,0867,C,BioLegend,FALSE,AB_2814143,NA,NA
CD94,Stephenson_2021,DX22,305523,0867,C,BioLegend,FALSE,NA,NA,NA
CD94,Su_2020,DX22,305523,0867,C,NA,FALSE,NA,NA,NA
CD94,LeCoz_2021,DX22,305523,0867,C,BioLegend,FALSE,NA,NA,NA
CD94 (KLRD1),Trzupek_2021,HP-3D9,940081,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD94 (KLRD1),Trzupek_2020,HP-3D9,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD95,Kaufmann_2021,DX2,305602,NA,NA,BioLegend,FALSE,NA,B206684,NA
CD95,Arunachalam_2020,DX2,305649,0156,A,BioLegend,FALSE,AB_2750368,NA,NA
CD95,PomboAntunes_2021,DX2,305649,0156,A,BioLegend,FALSE,AB_2750368,NA,NA
CD95,Shangguan_2021,DX2,305651,0156,C,BioLegend,FALSE,AB_2800787,NA,NA
CD95 (Fas),Hao_2021,DX2,305649,0156,A,BioLegend,FALSE,AB_2750368,NA,NA
CD95 (Fas),Mimitou_2021,DX2,305649,0156,A,BioLegend,FALSE,NA,NA,NA
CD95 (Fas),Qian_2020,DX2,305649,0156,A,BioLegend,FALSE,NA,NA,NA
CD95 (Fas),Liu_2021,DX2,305651,0156,C,BioLegend,FALSE,AB_2800787,NA,NA
CD95 (Fas),Stephenson_2021,DX2,305651,0156,C,BioLegend,FALSE,NA,NA,NA
CD95 (Fas),Su_2020,DX2,305651,0156,C,NA,FALSE,NA,NA,NA
CD95 (Fas),LeCoz_2021,DX2,305651,0156,C,BioLegend,FALSE,NA,NA,NA
CD95 (FAS),Nathan_2021,DX2,305649,0156,NA,NA,FALSE,AB_2750368,NA,NA
CD95 (FAS),Trzupek_2021,DX2,940037,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD95 (FAS),Trzupek_2020,DX2,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD95 (FAS),Trzupek_2020,DX2,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD96,PomboAntunes_2021,NK92.39,338419,0175,A,BioLegend,FALSE,AB_2750004,NA,NA
CD96 (TACTILE),Hao_2021,NK92.39,338419,0175,A,BioLegend,FALSE,AB_2750004,NA,NA
CD96 (TACTILE),Mimitou_2021,NK92.39,338419,0175,A,BioLegend,FALSE,NA,NA,NA
CD96 (TACTILE),Qian_2020,NK92.39,338419,0175,A,BioLegend,FALSE,NA,NA,NA
CD96 (TACTILE),Liu_2021,NK92.39,338423,0175,C,BioLegend,FALSE,AB_2810531,NA,NA
CD96 (TACTILE),Su_2020,NK92.39,338423,0175,C,NA,FALSE,NA,NA,NA
CD96 (TACTILE),Stephenson_2021,NK92.39,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD98,Hao_2021,MEM-108,315605,0374,A,BioLegend,FALSE,AB_2750369,NA,NA
CD98,PomboAntunes_2021,MEM-108,315605,0374,A,BioLegend,FALSE,AB_2750369,NA,NA
CD98,Mimitou_2021,MEM-108,315605,0374,A,BioLegend,FALSE,NA,NA,NA
CD98,Qian_2020,MEM-108,315605,0374,A,BioLegend,FALSE,NA,NA,NA
CD98,Liu_2021,MEM-108,315607,0374,C,BioLegend,FALSE,AB_2810478,NA,NA
CD98,Su_2020,MEM-108,315607,0374,C,NA,FALSE,NA,NA,NA
CD98,Trzupek_2021,UM7F8,940093,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD98,Stephenson_2021,MEM-108,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD98,Trzupek_2020,UM7F8,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD98,Trzupek_2020,UM7F8,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD99,Hao_2021,3B2/TA8,371317,0845,A,BioLegend,FALSE,AB_2801017,NA,NA
CD99,Witkowski_2020,3B2/TA8,371317,0845,A,BioLegend,FALSE,AB_2801017,B281964,NA
CD99,PomboAntunes_2021,3B2/TA8,371317,0845,A,BioLegend,FALSE,AB_2801017,NA,NA
CD99,Mimitou_2021,3B2/TA8,371317,0845,A,BioLegend,FALSE,NA,NA,NA
CD99,Liu_2021,3B2/TA8,371321,0845,C,BioLegend,FALSE,AB_2820032,NA,NA
CD99,Stephenson_2021,3B2/TA8,371321,0845,C,BioLegend,FALSE,NA,NA,NA
CD99,Su_2020,3B2/TA8,371321,0845,C,NA,FALSE,NA,NA,NA
CD99,LeCoz_2021,3B2/TA8,371321,0845,C,BioLegend,FALSE,NA,NA,NA
cKIT,Wu_2021_b,104D2,313241,0061,A,BioLegend,FALSE,AB_2734287,NA,NA
CLA,Hao_2021,HECA-452,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CLEC12A,Mimitou_2021,50C1,353613,0853,A,BioLegend,FALSE,NA,NA,NA
CLEC12A,Liu_2021,50C1,353615,0853,C,BioLegend,FALSE,AB_2814292,NA,NA
CLEC12A,Stephenson_2021,50C1,353615,0853,C,BioLegend,FALSE,NA,NA,NA
CLEC12A,Su_2020,50C1,353615,0853,C,NA,FALSE,NA,NA,NA
CLEC12A,LeCoz_2021,50C1,353615,0853,C,BioLegend,FALSE,NA,NA,NA
CLEC1B,PomboAntunes_2021,AYP1,372009,0866,A,BioLegend,FALSE,AB_2814333,NA,NA
CLEC1B,Vanuytsel_2020,AYP1,372009,0866,NA,BioLegend,FALSE,AB_2814333,NA,NA
CLEC1B (CLEC2),Hao_2021,AYP1,372009,0866,A,BioLegend,FALSE,AB_2814333,NA,NA
CLEC1B (CLEC2),Mimitou_2021,AYP1,372009,0866,A,BioLegend,FALSE,NA,NA,NA
control isotype IgG1,Cadot_2020,MOPC-21,400199,0090,A,BioLegend,TRUE,N/A,NA,NA
control_mIgG,Lawlor_2021,NA,NA,NA,NA,BioLegend,TRUE,NA,NA,NA
control_mIgG1,Lawlor_2021,NA,NA,NA,NA,BioLegend,TRUE,NA,NA,NA
control_mIgG1_2,Lawlor_2021,NA,NA,NA,NA,BioLegend,TRUE,NA,NA,NA
control_mIgG2a,Lawlor_2021,NA,NA,NA,NA,BioLegend,TRUE,NA,NA,NA
control_mIgG2a_2,Lawlor_2021,NA,NA,NA,NA,BioLegend,TRUE,NA,NA,NA
control_mIgG2b,Lawlor_2021,NA,NA,NA,NA,BioLegend,TRUE,NA,NA,NA
control_mIgG2b_2,Lawlor_2021,NA,NA,NA,NA,BioLegend,TRUE,NA,NA,NA
control_mIgM,Lawlor_2021,NA,NA,NA,NA,BioLegend,TRUE,NA,NA,NA
control_rIgG2a,Lawlor_2021,NA,NA,NA,NA,BioLegend,TRUE,NA,NA,NA
CR1,Wu_2021_b,E11,333407,0167,A,BioLegend,FALSE,AB_2783217,NA,NA
CR2 (CD21),Trzupek_2021,B-ly4,940048,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CR2 (CD21),Trzupek_2020,B-ly4,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CRTH2,Wu_2021_b,BM16,350127,0102,A,BioLegend,FALSE,AB_2734360,NA,NA
CTLA4,Wu_2021_b,BNI3,369619,0151,A,BioLegend,FALSE,AB_2734423,NA,NA
CTLA4,Hao_2021,BNI3,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CTLA4,Mimitou_2019,BNI3,NA,NA,NA,NA,FALSE,NA,NA,NA
CX3CR1,Liu_2021,K0124E1,355705,0179,C,BioLegend,FALSE,AB_2800960,NA,NA
CX3CR1,Stephenson_2021,K0124E1,355705,0179,C,BioLegend,FALSE,NA,NA,NA
CX3CR1,Su_2020,K0124E1,355705,0179,C,NA,FALSE,NA,NA,NA
CX3CR1,LeCoz_2021,K0124E1,355705,0179,C,BioLegend,FALSE,NA,NA,NA
CX3CR1,Hao_2021,K0124E1,355709,NA,A,BioLegend,FALSE,NA,NA,NA
CX3CR1,Mimitou_2021,K0124E1,355709,0179,A,BioLegend,FALSE,NA,NA,NA
CX3CR1,Qian_2020,K0124E1,355709,0179,A,BioLegend,FALSE,NA,NA,NA
CX3CR1/GPR13/CCRL1,Kotliarov_2020,K0124E1,custom made (similar to 95058),0179,A,BioLegend,FALSE,NA,B267223,TRUE
CXCR3,Wu_2021_b,G025H7,353745,0140,A,BioLegend,FALSE,AB_2749993,NA,NA
CXCR3 (CD183),Trzupek_2021,1C6,940030,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CXCR3 (CD183),Trzupek_2020,1C6,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CXCR3 (CD183),Trzupek_2020,1C6,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CXCR4,Wu_2021_b,12G5,306531,0366,A,BioLegend,FALSE,AB_2800790,NA,NA
CXCR4,Trzupek_2020,12G5,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CXCR4,Trzupek_2020,12G5,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CXCR4,Holmes_2020,12G5,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CXCR4 (CD184),Trzupek_2021,12G5,940056,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CXCR5,Kaufmann_2021,J252D4,356901,NA,NA,BioLegend,FALSE,NA,B163804,NA
CXCR5,Wu_2021_b,J252D4,356937,0144,A,BioLegend,FALSE,AB_2750356,NA,NA
CXCR6,Wu_2021_b,K041E5,356021,0804,A,BioLegend,FALSE,AB_2800961,NA,NA
DNAM1,Wu_2021_b,11A8,338335,0368,A,BioLegend,FALSE,AB_2783220,NA,NA
DopamineD4receptor,PomboAntunes_2021,NA,NA,0434,A,BioLegend,FALSE,N/A,NA,NA
DopamineReceptorD4,PomboAntunes_2021,NA,NA,0434,A,BioLegend,FALSE,N/A,NA,NA
DR3 (TRAMP),Liu_2021,JD3,307107,1057,C,BioLegend,FALSE,AB_2832605,NA,NA
DR3 (TRAMP),Su_2020,JD3,307107,1057,C,NA,FALSE,NA,NA,NA
DR3 (TRAMP),Stephenson_2021,JD3,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
EGFR,Wu_2021_b,AY13,352923,0132,A,BioLegend,FALSE,AB_2734373,NA,NA
EGFR,PomboAntunes_2021,AY13,352923,0132,A,BioLegend,FALSE,AB_2734373,NA,NA
EGFR,Qian_2020,AY13,352923,0132,A,BioLegend,FALSE,NA,NA,NA
EpCAM,Buus_2021,9C4,324247,0123,C,BioLegend,FALSE,AB_2814181,NA,NA
EPCAM,Wu_2021_b,9C4,324241,0123,A,BioLegend,FALSE,AB_2750362,NA,NA
EpCAM (CD326),Hao_2021,9C4,NA,NA,C,BioLegend,FALSE,NA,NA,NA
EpCAM (CD326),Mimitou_2019,9C4,NA,NA,NA,NA,FALSE,NA,NA,NA
ERK1,PomboAntunes_2021,W15133A,NA,0222,A,BioLegend,FALSE,N/A,NA,NA
ERK1,PomboAntunes_2021,W15133A,NA,0222,A,BioLegend,FALSE,N/A,NA,NA
FAS,Wu_2021_b,DX2,305649,0156,A,BioLegend,FALSE,AB_2750368,NA,NA
FAS.L,Wu_2021_b,NOK-1,306413,0177,A,BioLegend,FALSE,AB_2750500,NA,NA
FASL (CD178),Trzupek_2021,NOK-1,940089,NA,NA,BD Biosciences,FALSE,NA,NA,NA
FASL (CD178),Trzupek_2020,NOK-1,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
FCER1a,Arunachalam_2020,AER-37 (CRA-1),334641,0352,A,BioLegend,FALSE,AB_2750503,NA,NA
FceRIa,PomboAntunes_2021,AER-37 (CRA-1),334641,0352,A,BioLegend,FALSE,AB_2750503,NA,NA
FCERIA,Wu_2021_b,AER-37 (CRA-1),334641,0352,A,BioLegend,FALSE,AB_2750503,NA,NA
FcεRIα,Qian_2020,AER-37 (CRA-1),334641,0352,A,BioLegend,FALSE,NA,NA,NA
FcεRIα,Liu_2021,AER-37 (CRA-1),334645,0352,C,BioLegend,FALSE,AB_2800889,NA,NA
FcεRIα,Stephenson_2021,AER-37 (CRA-1),334645,0352,C,BioLegend,FALSE,NA,NA,NA
FcεRIα,Su_2020,AER-37 (CRA-1),334645,0352,C,NA,FALSE,NA,NA,NA
FcεRIα,LeCoz_2021,AER-37 (CRA-1),334645,0352,C,BioLegend,FALSE,NA,NA,NA
folate receptor beta,Hao_2021,94b/FOLR2,391707,0427,A,BioLegend,FALSE,AB_2783289,NA,NA
Folate Receptor β (FR-β),Mimitou_2021,94b/FOLR2,391707,0427,A,BioLegend,FALSE,NA,NA,NA
FolateReceptorBeta,PomboAntunes_2021,94b/FOLR2,391707,0427,A,BioLegend,FALSE,AB_2783289,NA,NA
GABRB3,PomboAntunes_2021,NA,NA,0435,A,BioLegend,FALSE,N/A,NA,NA
GABRB3,PomboAntunes_2021,NA,NA,0435,A,BioLegend,FALSE,N/A,NA,NA
Galectin-9,Mimitou_2021,9M1-3,NA,0016,A,BioLegend,FALSE,NA,NA,NA
Galectin-9,Qian_2020,9M1-3,NA,0016,A,BioLegend,FALSE,NA,NA,NA
Galectin-9,Hao_2021,9M1-3,NA,NA,A,BioLegend,FALSE,NA,NA,NA
GARP,PomboAntunes_2021,7B11,352515,0901,A,BioLegend,FALSE,AB_2814283,NA,NA
GARP (LRRC32),Liu_2021,7B11,352517,0901,C,BioLegend,FALSE,AB_2819994,NA,NA
GARP (LRRC32),Su_2020,7B11,352517,0901,C,NA,FALSE,NA,NA,NA
GARP (LRRC32),Stephenson_2021,7B11,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
GITR,Wu_2021_b,108-17,371225,0360,A,BioLegend,FALSE,AB_2801016,NA,NA
GITR (CD357),Trzupek_2021,V27-580,940096,NA,NA,BD Biosciences,FALSE,NA,NA,NA
GITR (CD357),Trzupek_2020,V27-580,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
GITR (CD357),Trzupek_2020,V27-580,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
GP130,Mimitou_2021,2E1B02,NA,0820,A,BioLegend,FALSE,NA,NA,NA
GP130,Hao_2021,2E1B02,NA,NA,A,BioLegend,FALSE,NA,NA,NA
GPR56,LeCoz_2021,CG4,358209,0912,C,BioLegend,FALSE,NA,NA,NA
HER2,Wu_2021_b,24D2,324423,0133,A,BioLegend,FALSE,AB_2810483,NA,NA
HLA_A2,PomboAntunes_2021,BB7.2,343331,0899,A,BioLegend,FALSE,AB_2810540,NA,NA
HLA_ABC,PomboAntunes_2021,W6/32,311445,0058,A,BioLegend,FALSE,AB_2749976,NA,NA
HLA_DR,PomboAntunes_2021,L243,307659,0159,A,BioLegend,FALSE,AB_2750001,NA,NA
"HLA-A,B,C",Kotliarov_2020,W6/32,311445,0058,A,BioLegend,FALSE,AB_2749976,B264040,FALSE
"HLA-A,B,C",Qian_2020,W6/32,311445,0058,A,BioLegend,FALSE,NA,NA,NA
"HLA-A,B,C",Liu_2021,W6/32,311449,0058,C,BioLegend,FALSE,AB_2800816,NA,NA
"HLA-A,B,C",Stephenson_2021,W6/32,311449,0058,C,BioLegend,FALSE,NA,NA,NA
"HLA-A,B,C",Su_2020,W6/32,311449,0058,C,NA,FALSE,NA,NA,NA
"HLA-A,B,C",LeCoz_2021,W6/32,311449,0058,C,BioLegend,FALSE,NA,NA,NA
"HLA-A,B,C",Hao_2021,W6/32,NA,NA,C,BioLegend,FALSE,NA,NA,NA
"HLA-A,B,C",Mimitou_2019,W6/32,NA,NA,NA,NA,FALSE,NA,NA,NA
HLA-A/B/C,Shangguan_2021,W6/32,311449,0058,C,BioLegend,FALSE,AB_2800816,NA,NA
HLA-A2,Liu_2021,BB7.2,343337,0899,C,BioLegend,FALSE,NA,NA,NA
HLA-A2,Su_2020,BB7.2,343337,0899,C,NA,FALSE,NA,NA,NA
HLA-A2,Stephenson_2021,BB7.2,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
HLA-ABC,Buus_2021,W6/32,311449,0058,C,BioLegend,FALSE,AB_2800816,NA,NA
HLA-ABC,Frangieh_2021,W6/32,NA,0058,NA,BioLegend,FALSE,NA,NA,NA
HLA-DR,Kaufmann_2021,L243,307602,NA,NA,BioLegend,FALSE,NA,B217166,NA
HLA-DR,Arunachalam_2020,L243,307659,0159,A,BioLegend,FALSE,AB_2750001,NA,NA
HLA-DR,Hao_2021,L243,307659,0159,A,BioLegend,FALSE,AB_2750001,NA,NA
HLA-DR,Kotliarov_2020,L243,307659,0159,A,BioLegend,FALSE,AB_2750001,B263622,FALSE
HLA-DR,Pei_2020,L243,307659,0159,A,NA,FALSE,AB_2750001,NA,NA
HLA-DR,Witkowski_2020,L243,307659,0159,A,BioLegend,FALSE,AB_2750001,B269913,NA
HLA-DR,Mimitou_2021,L243,307659,0159,A,BioLegend,FALSE,NA,NA,NA
HLA-DR,Qian_2020,L243,307659,0159,A,BioLegend,FALSE,NA,NA,NA
HLA-DR,Nathan_2021,L243,307659,0159,NA,NA,FALSE,AB_2750001,NA,NA
HLA-DR,Stuart_2019,L243,307659,0159,NA,NA,FALSE,AB_2750001,NA,NA
HLA-DR,Poch_2021,L243,307659,0159,NA,Biolegend,FALSE,AB_2750001,NA,NA
HLA-DR,Buus_2021,L243,307663,0159,C,BioLegend,FALSE,AB_2800795,NA,NA
HLA-DR,Lee_2021,L243,307663,0159,C,BioLegend,FALSE,AB_2800795,NA,NA
HLA-DR,Liu_2021,L243,307663,0159,C,BioLegend,FALSE,AB_2800795,NA,NA
HLA-DR,Shangguan_2021,L243,307663,0159,C,BioLegend,FALSE,AB_2800795,NA,NA
HLA-DR,Stephenson_2021,L243,307663,0159,C,BioLegend,FALSE,NA,NA,NA
HLA-DR,Su_2020,L243,307663,0159,C,NA,FALSE,NA,NA,NA
HLA-DR,LeCoz_2021,L243,307663,0159,C,BioLegend,FALSE,NA,NA,NA
HLA-DR,Trzupek_2021,G46-6,940010,AHS0035,NA,BD Biosciences,FALSE,NA,NA,NA
HLA-DR,Qi_2020,G46-6,940010,AHS0035,NA,BD Biosciences,FALSE,NA,NA,NA
HLA-DR,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
HLA-DR,Mair_2020,G46-6,NA,AHS0035,NA,BD Biosciences,FALSE,NA,NA,NA
HLA-DR,Stoeckius_2018,L243,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
HLA-DR,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
"HLA-DR,DP,DQ",Vanuytsel_2020,L243,307659,0159,NA,BioLegend,FALSE,AB_2750001,NA,NA
HLA-E,LeCoz_2021,3D12,342619,0918,C,BioLegend,FALSE,NA,NA,NA
HLA-E,Frangieh_2021,3D12,NA,0918,NA,BioLegend,FALSE,NA,NA,NA
HLA-F,Liu_2021,3D11/HLA-F,373209,1047,C,BioLegend,FALSE,NA,NA,NA
HLA-F,Su_2020,3D11/HLA-F,373209,1047,C,NA,FALSE,NA,NA,NA
HLA-F,Stephenson_2021,3D11/HLA-F,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
HLA.A.B.C,Wu_2021_b,W6/32,311445,0058,A,BioLegend,FALSE,AB_2749976,NA,NA
HLA.DR,Wu_2021_b,L243,307659,0159,A,BioLegend,FALSE,AB_2750001,NA,NA
HLADR,Fernandez_2020,L243,307651,NA,NA,BioLegend,FALSE,NA,NA,NA
HVEM,Wu_2021_b,122,318813,0020,A,BioLegend,FALSE,AB_2734293,NA,NA
ICAM2,Wu_2021_b,CBR-IC2/2,328509,0244,A,BioLegend,FALSE,AB_2750381,NA,NA
ICOS,Wu_2021_b,C398.4A,313555,0171,A,BioLegend,FALSE,AB_2800824,NA,NA
ICOS,Stuart_2019,C398.4A,custom made,NA,NA,NA,FALSE,NA,NA,NA
ICOS (CD278),Trzupek_2021,DX29,940043,NA,NA,BD Biosciences,FALSE,NA,NA,NA
ICOS (CD278),Trzupek_2020,DX29,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
ICOS (CD278),Trzupek_2020,DX29,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
ICOS (CD278),Trzupek_2020,DX29,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
ICOSL,Wu_2021_b,9F.8A4,329809,0172,A,BioLegend,FALSE,AB_2750359,NA,NA
IFN-gamma R alpha chain,Hao_2021,GIR-208,308607,0219,A,BioLegend,FALSE,AB_2750385,NA,NA
Ig light chain kappa,Liu_2021,MHK-49,316533,0894,C,BioLegend,FALSE,AB_2814169,NA,NA
Ig light chain lambda,Liu_2021,MHL-38,316629,0898,C,BioLegend,FALSE,AB_2814171,NA,NA
Ig light chain κ,Stephenson_2021,MHK-49,316533,0894,C,BioLegend,FALSE,NA,NA,NA
Ig light chain κ,Su_2020,MHK-49,316533,0894,C,NA,FALSE,NA,NA,NA
